my_rowid,current_status,timestamp_created,threshold,interpreter_class,interpreter_class2,interpreter_certainty,interpreter_certainty2,interpreter_class_id,interpreter_class2_id,certainty_threshold
1,deleted,2022-01-21 18:36:14.641374,2000,ambience,footsteps,94,5,0,1,50
2,evaluated,2022-01-21 18:36:16.283137,2000,ambience,footsteps,99,0,0,1,50
3,deleted,2022-01-21 18:36:34.802451,2000,ambience,footsteps,98,1,0,1,50
4,deleted,2022-01-21 18:36:38.350026,2000,ambience,footsteps,99,0,0,1,50
5,deleted,2022-01-21 18:36:41.948719,2000,ambience,footsteps,99,0,0,1,50
6,deleted,2022-01-21 18:36:45.522280,2000,ambience,footsteps,99,0,0,1,50
7,evaluated,2022-01-21 18:36:49.119356,2000,ambience,footsteps,99,0,0,1,50
8,evaluated,2022-01-21 18:36:52.642979,2000,ambience,footsteps,99,0,0,1,50
9,evaluated,2022-01-21 18:36:56.167020,2000,ambience,footsteps,99,0,0,1,50
10,evaluated,2022-01-21 18:36:59.691165,2000,ambience,footsteps,99,0,0,1,50
11,evaluated,2022-01-21 18:37:03.237967,2000,ambience,footsteps,99,0,0,1,50
12,evaluated,2022-01-21 18:37:06.811126,2000,ambience,footsteps,99,0,0,1,50
13,deleted,2022-01-21 18:37:10.332322,2000,ambience,footsteps,99,0,0,1,50
14,evaluated,2022-01-21 18:37:13.858557,2000,ambience,footsteps,99,0,0,1,50
15,evaluated,2022-01-21 18:37:17.432561,2000,ambience,footsteps,99,0,0,1,50
16,evaluated,2022-01-21 18:37:21.131524,2000,ambience,footsteps,99,0,0,1,50
17,evaluated,2022-01-21 18:37:24.729127,2000,ambience,footsteps,99,0,0,1,50
18,evaluated,2022-01-21 18:37:28.253529,2000,ambience,footsteps,99,0,0,1,50
19,evaluated,2022-01-21 18:37:31.824366,2000,ambience,footsteps,99,0,0,1,50
20,evaluated,2022-01-21 18:37:35.348709,2000,ambience,footsteps,99,0,0,1,50
21,evaluated,2022-01-21 18:37:38.897335,2000,ambience,footsteps,99,0,0,1,50
22,evaluated,2022-01-21 18:37:42.421787,2000,ambience,footsteps,99,0,0,1,50
23,evaluated,2022-01-21 18:37:45.944761,2000,ambience,footsteps,99,0,0,1,50
24,evaluated,2022-01-21 18:37:50.042593,2000,ambience,footsteps,99,0,0,1,50
25,evaluated,2022-01-21 18:37:53.591144,2000,ambience,footsteps,90,5,0,1,50
26,evaluated,2022-01-21 18:37:57.111033,2000,ambience,footsteps,98,1,0,1,50
27,evaluated,2022-01-21 18:38:00.787111,2000,ambience,footsteps,94,5,0,1,50
28,evaluated,2022-01-21 18:38:04.585091,2000,ambience,footsteps,92,7,0,1,50
29,evaluated,2022-01-21 18:38:06.807336,2000,footsteps,ambience,63,32,1,0,50
30,evaluated,2022-01-21 18:38:57.041876,2000,ambience,music,98,1,0,3,50
31,deleted,2022-01-21 18:42:35.661005,2000,ambience,music,88,9,0,3,50
32,evaluated,2022-01-21 18:48:23.481229,2000,ambience,footsteps,99,0,0,1,50
33,evaluated,2022-01-21 18:48:27.053497,2000,ambience,footsteps,95,4,0,1,50
34,evaluated,2022-01-21 18:50:44.088841,2000,ambience,music,88,10,0,3,50
35,evaluated,2022-01-21 18:50:48.588946,2000,ambience,footsteps,99,0,0,1,50
36,evaluated,2022-02-07 10:52:01.096681,2000,ambience,music,62,36,0,3,50
37,evaluated,2022-02-07 10:52:06.146340,2000,ambience,footsteps,99,0,0,1,50
38,evaluated,2022-02-07 10:52:23.539299,2000,footsteps,ambience,60,39,1,0,50
39,evaluated,2022-02-12 10:44:11.767680,2000,footsteps,ambience,73,26,1,0,50
40,evaluated,2022-02-12 10:44:14.291475,2000,ambience,footsteps,83,16,0,1,50
41,evaluated,2022-02-12 10:44:15.539169,2000,ambience,music,78,16,0,3,50
42,evaluated,2022-02-12 10:44:17.189065,2000,footsteps,ambience,58,41,1,0,50
43,evaluated,2022-02-12 10:44:19.587633,2000,music,ambience,55,41,3,0,50
44,evaluated,2022-02-12 10:44:29.505191,2000,ambience,footsteps,94,4,0,1,50
45,evaluated,2022-02-12 10:44:39.652430,2000,ambience,footsteps,67,17,0,1,50
46,evaluated,2022-02-12 10:44:42.502813,2000,horn,shout,59,32,2,4,50
47,deleted,2022-02-12 10:44:46.653030,2000,horn,music,45,25,2,3,50
48,evaluated,2022-02-12 10:44:52.402282,2000,ambience,horn,50,39,0,2,50
49,deleted,2022-02-12 10:45:00.344404,2000,ambience,music,45,30,0,3,50
50,evaluated,2022-02-12 10:45:33.379990,2000,music,shout,99,0,3,4,50
51,evaluated,2022-02-12 10:45:35.977215,2000,music,shout,99,0,3,4,50
52,evaluated,2022-02-12 10:46:07.615489,2000,music,horn,92,6,3,2,50
53,evaluated,2022-02-12 10:46:11.188500,2000,music,horn,89,10,3,2,50
54,evaluated,2022-02-12 10:46:14.585094,2000,music,shout,99,0,3,4,50
55,evaluated,2022-02-12 10:46:17.384824,2000,music,horn,94,4,3,2,50
56,evaluated,2022-02-12 10:46:19.107929,2000,music,horn,98,0,3,2,50
57,evaluated,2022-02-12 10:46:20.757069,2000,music,horn,96,1,3,2,50
58,evaluated,2022-02-12 10:46:27.006949,2000,music,shout,54,21,3,4,50
59,evaluated,2022-02-12 10:46:30.779251,2000,music,horn,51,48,3,2,50
60,evaluated,2022-02-12 10:46:32.877929,2000,music,shout,98,1,3,4,50
61,evaluated,2022-02-12 10:46:35.226908,2000,music,shout,99,0,3,4,50
62,evaluated,2022-02-12 10:46:52.393622,2000,music,shout,99,0,3,4,50
63,evaluated,2022-02-12 10:46:55.318038,2000,music,ambience,91,7,3,0,50
64,evaluated,2022-02-12 10:46:57.517141,2000,music,shout,99,0,3,4,50
65,evaluated,2022-02-12 10:46:59.439747,2000,music,shout,99,0,3,4,50
66,evaluated,2022-02-12 10:47:05.764368,2000,music,shout,83,14,3,4,50
67,evaluated,2022-02-12 10:47:08.633637,2000,music,shout,74,18,3,4,50
68,evaluated,2022-02-12 10:47:09.685082,2000,ambience,footsteps,66,22,0,1,50
69,deleted,2022-02-12 10:47:33.501935,2000,music,horn,48,45,3,2,50
70,evaluated,2022-02-12 10:47:34.749405,2000,music,ambience,57,33,3,0,50
71,evaluated,2022-02-12 10:47:38.273974,2000,shout,music,70,22,4,3,50
72,evaluated,2022-02-12 10:47:41.747804,2000,shout,music,76,14,4,3,50
73,evaluated,2022-02-12 10:47:58.314689,2000,footsteps,ambience,98,1,1,0,50
74,evaluated,2022-02-12 10:48:00.513111,2000,music,ambience,64,29,3,0,50
75,evaluated,2022-02-12 10:48:01.886269,2000,shout,ambience,72,14,4,0,50
76,evaluated,2022-02-12 10:48:04.284364,2000,ambience,horn,56,32,0,2,50
77,evaluated,2022-02-12 10:48:05.410420,2000,footsteps,ambience,63,34,1,0,50
78,evaluated,2022-02-12 10:48:11.256922,2000,ambience,footsteps,53,37,0,1,50
79,evaluated,2022-02-12 10:48:12.781813,2000,horn,music,90,8,2,3,50
80,evaluated,2022-02-12 10:48:14.229442,2000,music,horn,50,39,3,2,50
81,evaluated,2022-02-12 10:48:15.928018,2000,music,horn,79,19,3,2,50
82,evaluated,2022-02-12 10:48:19.605905,2000,music,horn,62,36,3,2,50
83,evaluated,2022-02-12 10:48:21.903527,2000,music,horn,62,32,3,2,50
84,evaluated,2022-02-12 10:48:23.999100,2000,ambience,music,65,28,0,3,50
85,evaluated,2022-02-12 10:48:38.596394,2000,horn,shout,78,17,2,4,50
86,deleted,2022-02-12 10:48:42.146008,2000,shout,horn,36,32,4,2,50
87,evaluated,2022-02-12 10:48:45.442804,2000,shout,horn,93,6,4,2,50
88,evaluated,2022-02-12 10:49:15.653416,2000,music,horn,86,12,3,2,50
89,evaluated,2022-02-12 10:49:21.500991,2000,horn,ambience,99,0,2,0,50
90,evaluated,2022-02-12 10:49:26.572839,2000,ambience,shout,69,19,0,4,50
91,evaluated,2022-02-12 10:49:28.396455,2000,ambience,footsteps,77,15,0,1,50
92,evaluated,2022-02-12 10:49:31.246662,2000,shout,ambience,60,35,4,0,50
93,evaluated,2022-02-12 10:49:33.545268,2000,shout,ambience,90,8,4,0,50
94,evaluated,2022-02-12 10:49:36.244931,2000,shout,ambience,98,1,4,0,50
95,evaluated,2022-02-12 10:49:40.017944,2000,shout,ambience,95,2,4,0,50
96,evaluated,2022-02-12 10:49:43.692480,2000,ambience,shout,61,19,0,4,50
97,evaluated,2022-02-12 10:49:45.763892,2000,ambience,music,78,12,0,3,50
98,evaluated,2022-02-12 10:49:50.714543,2000,shout,ambience,69,17,4,0,50
99,deleted,2022-02-12 10:49:54.236669,2000,horn,shout,42,35,2,4,50
100,deleted,2022-02-12 10:49:56.034554,2000,music,horn,36,25,3,2,50
101,evaluated,2022-02-12 10:50:01.533864,2000,shout,ambience,96,3,4,0,50
102,evaluated,2022-02-12 10:50:05.082228,2000,shout,horn,95,2,4,2,50
103,evaluated,2022-02-12 10:50:08.881499,2000,shout,horn,89,9,4,2,50
104,evaluated,2022-02-12 10:50:12.401269,2000,shout,horn,99,0,4,2,50
105,evaluated,2022-02-12 10:50:15.577096,2000,shout,music,99,0,4,3,50
106,deleted,2022-02-12 10:50:24.522988,2000,music,shout,97,1,3,4,50
107,evaluated,2022-02-12 10:50:28.569310,2000,shout,music,75,23,4,3,50
108,evaluated,2022-02-12 10:50:32.893635,2000,music,shout,98,0,3,4,50
109,evaluated,2022-02-12 10:50:37.717059,2000,shout,ambience,98,1,4,0,50
110,evaluated,2022-02-12 10:50:40.790547,2000,shout,music,99,0,4,3,50
111,evaluated,2022-02-12 10:50:46.839647,2000,ambience,shout,60,32,0,4,50
112,evaluated,2022-02-12 10:50:50.886379,2000,shout,ambience,96,3,4,0,50
113,deleted,2022-02-12 10:50:56.058839,2000,ambience,music,46,30,0,3,50
114,evaluated,2022-02-12 10:51:00.183096,2000,footsteps,ambience,60,23,1,0,50
115,evaluated,2022-02-12 10:51:05.430849,2000,shout,music,95,3,4,3,50
116,evaluated,2022-02-12 10:51:10.902956,2000,ambience,shout,68,25,0,4,50
117,evaluated,2022-02-12 10:51:18.699467,2000,ambience,music,77,13,0,3,50
118,evaluated,2022-02-12 10:51:21.621783,2000,music,horn,55,39,3,2,50
119,evaluated,2022-02-12 10:51:25.571473,2000,horn,ambience,77,15,2,0,50
120,evaluated,2022-02-12 10:51:28.319626,2000,horn,ambience,77,15,2,0,50
121,evaluated,2022-02-12 10:51:36.591405,2000,shout,ambience,97,1,4,0,50
122,evaluated,2022-02-12 10:51:37.864328,2000,music,ambience,56,15,3,0,50
123,evaluated,2022-02-12 10:51:46.784597,2000,horn,shout,61,24,2,4,50
124,evaluated,2022-02-12 10:51:49.133308,2000,ambience,horn,54,40,0,2,50
125,evaluated,2022-02-12 10:51:58.206931,2000,music,horn,86,8,3,2,50
126,evaluated,2022-02-12 10:52:00.753257,2000,music,horn,93,3,3,2,50
127,deleted,2022-02-12 10:52:06.349830,2000,horn,ambience,44,35,2,0,50
128,evaluated,2022-02-12 10:52:10.801196,2000,horn,shout,65,33,2,4,50
129,deleted,2022-02-12 10:52:17.919113,2000,horn,ambience,47,42,2,0,50
130,evaluated,2022-02-12 10:52:24.448354,2000,horn,ambience,85,12,2,0,50
131,evaluated,2022-02-12 10:52:29.691294,2000,ambience,horn,91,4,0,2,50
132,evaluated,2022-02-12 10:52:37.889583,2000,horn,music,75,23,2,3,50
133,evaluated,2022-02-12 10:52:41.487025,2000,horn,music,96,3,2,3,50
134,evaluated,2022-02-12 10:52:45.033100,2000,horn,music,99,0,2,3,50
135,evaluated,2022-02-12 10:52:48.557938,2000,ambience,horn,75,23,0,2,50
136,evaluated,2022-02-12 10:52:49.630162,2000,music,ambience,82,7,3,0,50
137,evaluated,2022-02-12 10:52:53.954797,2000,horn,shout,94,3,2,4,50
138,evaluated,2022-02-12 10:52:57.479138,2000,horn,footsteps,99,0,2,1,50
139,evaluated,2022-02-12 10:53:01.003373,2000,horn,music,96,2,2,3,50
140,evaluated,2022-02-12 10:53:04.601812,2000,horn,music,93,5,2,3,50
141,evaluated,2022-02-12 10:53:08.124846,2000,horn,ambience,73,24,2,0,50
142,evaluated,2022-02-12 10:53:10.873672,2000,horn,music,94,3,2,3,50
143,evaluated,2022-02-12 10:53:12.593043,2000,music,horn,67,17,3,2,50
144,evaluated,2022-02-12 10:53:13.892776,2000,music,ambience,97,2,3,0,50
145,evaluated,2022-02-12 10:53:15.266062,2000,ambience,music,78,19,0,3,50
146,evaluated,2022-02-12 10:53:18.895404,2000,horn,music,88,11,2,3,50
147,evaluated,2022-02-12 10:53:22.443462,2000,horn,music,98,1,2,3,50
148,evaluated,2022-02-12 10:53:26.542467,2000,horn,music,99,0,2,3,50
149,evaluated,2022-02-12 10:53:30.188443,2000,horn,ambience,63,27,2,0,50
150,evaluated,2022-02-12 10:53:33.983659,2000,horn,music,98,1,2,3,50
151,evaluated,2022-02-12 10:53:36.385247,2000,music,horn,88,7,3,2,50
152,evaluated,2022-02-12 10:53:38.833963,2000,horn,music,80,17,2,3,50
153,evaluated,2022-02-12 10:53:42.433449,2000,horn,music,94,5,2,3,50
154,evaluated,2022-02-12 10:53:46.081968,2000,horn,music,66,33,2,3,50
155,evaluated,2022-02-12 10:53:49.154672,2000,horn,music,87,10,2,3,50
156,evaluated,2022-02-12 10:53:52.829266,2000,horn,footsteps,99,0,2,1,50
157,evaluated,2022-02-12 10:53:56.452566,2000,horn,music,74,25,2,3,50
158,evaluated,2022-02-12 10:54:00.425472,2000,ambience,horn,93,3,0,2,50
159,evaluated,2022-02-12 10:54:03.973629,2000,horn,music,61,33,2,3,50
160,evaluated,2022-02-12 10:54:05.945978,2000,music,horn,57,40,3,2,50
161,evaluated,2022-02-12 10:54:09.723221,2000,horn,music,94,5,2,3,50
162,evaluated,2022-02-12 10:54:13.495258,2000,music,horn,53,44,3,2,50
163,evaluated,2022-02-12 10:54:14.817899,2000,music,ambience,89,8,3,0,50
164,evaluated,2022-02-12 10:54:16.189514,2000,music,ambience,77,12,3,0,50
165,evaluated,2022-02-12 10:54:19.867450,2000,horn,ambience,99,0,2,0,50
166,evaluated,2022-02-12 10:54:23.389706,2000,horn,music,86,13,2,3,50
167,evaluated,2022-02-12 10:54:24.661130,2000,ambience,music,60,37,0,3,50
168,evaluated,2022-02-12 10:54:28.363550,2000,horn,ambience,99,0,2,0,50
169,evaluated,2022-02-12 10:54:29.559690,2000,music,ambience,84,8,3,0,50
170,evaluated,2022-02-12 10:54:33.238093,2000,horn,music,91,8,2,3,50
171,evaluated,2022-02-12 10:54:36.783263,2000,music,horn,96,2,3,2,50
172,evaluated,2022-02-12 10:54:38.382504,2000,music,shout,99,0,3,4,50
173,evaluated,2022-02-12 10:54:41.031981,2000,music,horn,88,7,3,2,50
174,evaluated,2022-02-12 10:54:44.730872,2000,horn,music,89,10,2,3,50
175,evaluated,2022-02-12 10:54:47.629363,2000,horn,music,94,4,2,3,50
176,evaluated,2022-02-12 10:54:51.377911,2000,horn,music,92,7,2,3,50
177,evaluated,2022-02-12 10:54:54.950908,2000,horn,music,92,6,2,3,50
178,evaluated,2022-02-12 10:54:58.474915,2000,horn,music,97,1,2,3,50
179,evaluated,2022-02-12 10:55:03.447663,2000,horn,music,99,0,2,3,50
180,evaluated,2022-02-12 10:55:05.095704,2000,music,horn,89,10,3,2,50
181,deleted,2022-02-12 10:55:06.368251,2000,footsteps,music,49,36,1,3,50
182,evaluated,2022-02-12 10:55:10.267781,2000,music,ambience,97,1,3,0,50
183,evaluated,2022-02-12 10:55:11.591638,2000,music,horn,99,0,3,2,50
184,evaluated,2022-02-12 10:55:15.564703,2000,music,shout,98,0,3,4,50
185,evaluated,2022-02-12 10:55:16.813442,2000,music,ambience,99,0,3,0,50
186,evaluated,2022-02-12 10:55:19.438609,2000,music,shout,92,3,3,4,50
187,evaluated,2022-02-12 10:55:29.284785,2000,ambience,footsteps,73,21,0,1,50
188,evaluated,2022-02-12 10:55:31.758983,2000,footsteps,ambience,97,2,1,0,50
189,evaluated,2022-02-12 10:55:33.132899,2000,footsteps,ambience,68,17,1,0,50
190,deleted,2022-02-12 10:55:37.005594,2000,music,horn,33,32,3,2,50
191,evaluated,2022-02-12 10:55:39.330323,2000,music,horn,66,23,3,2,50
192,evaluated,2022-02-12 10:55:41.227568,2000,music,shout,98,1,3,4,50
193,evaluated,2022-02-12 10:55:43.027259,2000,music,horn,98,0,3,2,50
194,evaluated,2022-02-12 10:55:46.828206,2000,music,ambience,98,0,3,0,50
195,evaluated,2022-02-12 10:55:49.750610,2000,ambience,music,76,16,0,3,50
196,evaluated,2022-02-12 10:55:51.399307,2000,music,shout,99,0,3,4,50
197,evaluated,2022-02-12 10:55:55.369369,2000,music,shout,99,0,3,4,50
198,evaluated,2022-02-12 10:55:59.846566,2000,music,ambience,69,23,3,0,50
199,evaluated,2022-02-12 10:56:03.166720,2000,ambience,footsteps,88,7,0,1,50
200,evaluated,2022-02-12 10:56:05.518558,2000,music,ambience,88,11,3,0,50
201,evaluated,2022-02-12 10:56:08.890948,2000,music,shout,99,0,3,4,50
202,evaluated,2022-02-12 10:56:22.911639,2000,footsteps,shout,99,0,1,4,50
203,evaluated,2022-02-12 10:56:27.085171,2000,footsteps,music,94,4,1,3,50
204,evaluated,2022-02-12 10:56:30.633526,2000,footsteps,music,89,8,1,3,50
205,evaluated,2022-02-12 10:56:32.730578,2000,music,horn,94,4,3,2,50
206,evaluated,2022-02-12 10:56:36.330949,2000,footsteps,ambience,99,0,1,0,50
207,evaluated,2022-02-12 10:56:39.903821,2000,music,horn,83,10,3,2,50
208,evaluated,2022-02-12 10:56:43.901097,2000,footsteps,shout,99,0,1,4,50
209,evaluated,2022-02-12 10:56:47.425956,2000,footsteps,music,98,1,1,3,50
210,evaluated,2022-02-12 10:56:48.472531,2000,music,horn,92,6,3,2,50
211,evaluated,2022-02-12 10:56:49.797158,2000,music,horn,99,0,3,2,50
212,evaluated,2022-02-12 10:57:00.568916,2000,horn,ambience,51,32,2,0,50
213,evaluated,2022-02-12 10:57:04.117404,2000,music,horn,96,3,3,2,50
214,evaluated,2022-02-12 10:57:07.666310,2000,music,shout,66,22,3,4,50
215,evaluated,2022-02-12 10:57:11.214336,2000,horn,shout,86,13,2,4,50
216,deleted,2022-02-12 10:57:27.329279,2000,horn,music,47,44,2,3,50
217,evaluated,2022-02-12 10:57:31.179840,2000,music,horn,92,3,3,2,50
218,evaluated,2022-02-12 10:57:34.753323,2000,ambience,music,64,24,0,3,50
219,evaluated,2022-02-12 10:57:38.276301,2000,music,horn,76,14,3,2,50
220,evaluated,2022-02-12 10:57:41.825120,2000,music,shout,98,1,3,4,50
221,evaluated,2022-02-12 10:57:45.748383,2000,music,horn,92,6,3,2,50
222,evaluated,2022-02-12 10:57:49.397330,2000,music,horn,64,27,3,2,50
223,evaluated,2022-02-12 10:57:53.394355,2000,music,horn,64,13,3,2,50
224,evaluated,2022-02-12 10:57:57.139843,2000,music,horn,74,23,3,2,50
225,deleted,2022-02-12 10:58:01.141956,2000,horn,music,49,26,2,3,50
226,evaluated,2022-02-12 10:58:04.864995,2000,music,horn,91,7,3,2,50
227,evaluated,2022-02-12 10:58:06.988322,2000,shout,music,50,24,4,3,50
228,evaluated,2022-02-12 10:58:08.511144,2000,music,horn,95,3,3,2,50
229,evaluated,2022-02-12 10:58:10.161502,2000,music,horn,96,1,3,2,50
230,deleted,2022-02-12 10:58:15.459891,2000,horn,music,33,33,2,3,50
231,deleted,2022-02-12 10:58:19.233254,2000,horn,music,35,29,2,3,50
232,evaluated,2022-02-12 10:58:21.930833,2000,music,horn,51,28,3,2,50
233,evaluated,2022-02-12 10:58:25.454558,2000,music,horn,80,12,3,2,50
234,evaluated,2022-02-12 10:58:30.278353,2000,horn,music,66,32,2,3,50
235,evaluated,2022-02-12 10:58:33.802227,2000,music,horn,85,13,3,2,50
